invoice,Branch,Date,Gender,"Product line",Sales
725-32-9708,Cairo,1/4/2019,Female,"Fashion accessories",288.582
256-08-8343,Alex,3/4/2019,Female,"Home and lifestyle",237.426
372-26-1506,Giza,1/28/2019,Female,"Fashion accessories",125.055
244-08-0162,Cairo,1/2/2019,Female,"Health and beauty",359.205
569-71-4390,Cairo,1/25/2019,Male,"Sports and travel",45.927
132-23-6451,Alex,1/4/2019,Male,"Health and beauty",110.0925
696-90-2548,Alex,3/10/2019,Male,"Sports and travel",81.396
472-15-9636,Alex,3/22/2019,Male,"Home and lifestyle",427.812
268-03-6164,Cairo,1/25/2019,Male,"Health and beauty",100.9155
750-57-9686,Giza,1/8/2019,Female,"Home and lifestyle",190.596
186-09-3669,Giza,1/22/2019,Female,"Health and beauty",85.5855
848-07-1692,Cairo,1/12/2019,Female,"Health and beauty",120.162
745-71-3520,Alex,2/4/2019,Female,"Electronic accessories",185.367
266-76-6436,Giza,3/28/2019,Female,"Food and beverages",121.59
740-22-2500,Giza,1/23/2019,Female,"Electronic accessories",264.7575
271-88-8734,Giza,2/8/2019,Female,"Fashion accessories",1020.705
301-81-8610,Cairo,3/19/2019,Male,"Fashion accessories",213.528
489-64-4354,Giza,3/9/2019,Male,"Fashion accessories",17.094
198-84-7132,Cairo,1/2/2019,Male,"Fashion accessories",383.7645
269-10-8440,Alex,1/21/2019,Male,"Health and beauty",390.7995
650-98-6268,Cairo,3/20/2019,Female,"Food and beverages",65.7405
741-73-3559,Cairo,2/27/2019,Male,"Sports and travel",353.1675
325-77-6186,Alex,3/8/2019,Female,"Home and lifestyle",951.825
286-75-7818,Cairo,1/31/2019,Male,"Fashion accessories",145.068
574-57-9721,Giza,3/8/2019,Male,"Food and beverages",90.867
459-50-7686,Alex,1/13/2019,Female,"Electronic accessories",147.798
616-87-0016,Cairo,3/9/2019,Male,"Fashion accessories",702.219
837-55-7229,Cairo,2/22/2019,Female,"Fashion accessories",49.812
751-69-0068,Giza,3/19/2019,Male,"Sports and travel",937.818
257-73-1380,Giza,1/20/2019,Male,"Sports and travel",348.306
345-08-4992,Alex,3/8/2019,Male,"Home and lifestyle",214.137
549-96-4200,Giza,3/8/2019,Male,"Food and beverages",71.568
810-60-6344,Giza,2/7/2019,Female,"Electronic accessories",343.224
450-28-2866,Giza,1/15/2019,Male,"Food and beverages",91.56
394-30-3170,Cairo,3/22/2019,Female,"Sports and travel",742.812
138-17-5109,Alex,1/15/2019,Female,"Home and lifestyle",843.0345
192-98-7397,Giza,1/8/2019,Male,"Fashion accessories",13.419
301-11-9629,Alex,1/15/2019,Female,"Sports and travel",140.385
390-80-5128,Cairo,1/28/2019,Female,"Health and beauty",20.1075
235-46-8343,Giza,2/14/2019,Male,"Food and beverages",290.43
453-12-7053,Giza,3/10/2019,Male,"Fashion accessories",144.081
296-11-7041,Cairo,1/12/2019,Female,"Health and beauty",28.4235
449-27-2918,Cairo,3/26/2019,Female,"Sports and travel",41.076
891-01-7034,Cairo,1/1/2019,Female,"Electronic accessories",470.673
744-09-5786,Cairo,1/2/2019,Male,"Electronic accessories",138.663
727-17-0390,Alex,3/16/2019,Female,"Food and beverages",333.9525
568-88-3448,Alex,3/3/2019,Male,"Health and beauty",26.25
187-83-5490,Alex,1/31/2019,Male,"Electronic accessories",87.234
767-54-1907,Cairo,2/13/2019,Female,"Fashion accessories",155.19
710-46-4433,Cairo,2/15/2019,Female,"Food and beverages",731.43
533-33-5337,Cairo,2/7/2019,Male,"Electronic accessories",833.595
325-90-8763,Giza,1/27/2019,Female,"Electronic accessories",488.985
729-46-7422,Giza,2/23/2019,Male,"Food and beverages",37.6845
639-76-1242,Giza,2/3/2019,Male,"Food and beverages",212.73
234-03-4040,Cairo,3/3/2019,Female,"Food and beverages",767.025
326-71-2155,Giza,2/3/2019,Female,"Sports and travel",310.59
320-32-8842,Giza,3/17/2019,Female,"Food and beverages",23.751
470-32-9057,Alex,3/28/2019,Male,"Food and beverages",269.535
878-30-2331,Giza,3/2/2019,Female,"Sports and travel",572.775
440-59-5691,Giza,2/8/2019,Female,"Health and beauty",273.0525
554-53-3790,Cairo,3/22/2019,Male,"Sports and travel",233.226
746-19-0921,Giza,2/9/2019,Male,"Food and beverages",22.659
233-34-0817,Giza,2/15/2019,Female,"Electronic accessories",103.782
767-05-1286,Giza,1/23/2019,Female,"Home and lifestyle",527.751
340-21-9136,Alex,1/25/2019,Female,"Sports and travel",168.21
405-31-3305,Alex,2/2/2019,Male,"Fashion accessories",452.865
731-59-7531,Cairo,3/30/2019,Male,"Health and beauty",609.588
676-39-6028,Alex,3/30/2019,Female,"Electronic accessories",338.31
502-05-1910,Alex,2/25/2019,Male,"Health and beauty",205.317
485-30-8700,Alex,3/18/2019,Female,"Sports and travel",174.615
598-47-9715,Giza,3/7/2019,Male,"Electronic accessories",353.094
701-69-8742,Cairo,3/16/2019,Male,"Sports and travel",360.885
575-67-1508,Alex,1/29/2019,Male,"Electronic accessories",40.53
541-08-3113,Giza,2/2/2019,Male,"Food and beverages",554.148
246-11-3901,Giza,2/15/2019,Female,"Electronic accessories",344.4
674-15-9296,Alex,1/8/2019,Male,"Sports and travel",194.985
305-18-3552,Cairo,2/12/2019,Male,"Home and lifestyle",633.99
493-65-6248,Giza,1/1/2019,Female,"Sports and travel",388.29
438-01-4015,Cairo,3/21/2019,Female,"Sports and travel",207.858
709-58-4068,Cairo,2/28/2019,Female,"Fashion accessories",431.445
795-49-7276,Alex,3/23/2019,Male,"Fashion accessories",156.03
556-72-8512,Giza,1/30/2019,Male,"Home and lifestyle",24.108
627-95-3243,Cairo,2/4/2019,Female,"Home and lifestyle",734.076
686-41-0932,Cairo,3/13/2019,Female,"Fashion accessories",72.87
510-09-5628,Alex,3/15/2019,Female,"Fashion accessories",206.43
608-04-3797,Cairo,3/5/2019,Female,"Health and beauty",212.688
148-82-2527,Giza,3/5/2019,Female,"Home and lifestyle",127.26
437-53-3084,Cairo,2/26/2019,Male,"Fashion accessories",209.769
632-32-4574,Cairo,3/20/2019,Male,"Sports and travel",637.728
556-97-7101,Giza,1/1/2019,Female,"Electronic accessories",132.762
862-59-8517,Giza,1/27/2019,Female,"Food and beverages",568.512
401-18-8016,Cairo,1/21/2019,Female,"Sports and travel",103.0365
420-18-8989,Alex,2/2/2019,Female,"Sports and travel",432.768
277-63-2961,Cairo,2/3/2019,Male,"Sports and travel",77.6685
573-98-8548,Giza,1/5/2019,Female,"Fashion accessories",33.495
620-02-2046,Giza,1/27/2019,Male,"Home and lifestyle",145.74
282-35-2475,Cairo,3/25/2019,Female,"Sports and travel",195.951
511-54-3087,Cairo,2/25/2019,Male,"Sports and travel",92.8725
726-29-6793,Alex,1/28/2019,Male,"Electronic accessories",203.112
387-49-4215,Cairo,1/8/2019,Female,"Sports and travel",152.775
862-17-9201,Cairo,1/29/2019,Female,"Food and beverages",529.515
291-21-5991,Cairo,3/29/2019,Male,"Health and beauty",321.7725
602-80-9671,Giza,2/9/2019,Female,"Home and lifestyle",100.485
347-72-6115,Cairo,1/16/2019,Female,"Sports and travel",666.939
209-61-0206,Alex,1/5/2019,Female,"Home and lifestyle",225.2775
595-27-4851,Alex,1/27/2019,Female,"Fashion accessories",398.958
189-52-0236,Alex,3/14/2019,Male,"Electronic accessories",731.6925
503-07-0930,Giza,2/23/2019,Male,"Sports and travel",429.1665
413-20-6708,Giza,3/18/2019,Female,"Fashion accessories",54.0435
425-85-2085,Cairo,3/29/2019,Male,"Health and beauty",288.015
521-18-7827,Giza,1/22/2019,Male,"Home and lifestyle",206.7975
220-28-1851,Alex,3/1/2019,Male,"Home and lifestyle",72.933
600-38-9738,Giza,1/17/2019,Male,"Sports and travel",377.58
734-91-1155,Cairo,3/26/2019,Female,"Electronic accessories",143.9865
451-28-5717,Giza,3/20/2019,Female,"Home and lifestyle",523.971
609-81-8548,Alex,2/6/2019,Female,"Home and lifestyle",235.872
133-14-7229,Giza,1/1/2019,Male,"Health and beauty",132.027
534-01-4457,Alex,1/27/2019,Male,"Food and beverages",514.773
719-89-8991,Alex,2/25/2019,Female,"Sports and travel",479.9025
286-62-6248,Cairo,1/16/2019,Male,"Fashion accessories",164.682
339-38-9982,Cairo,1/13/2019,Male,"Fashion accessories",125.706
827-44-5872,Cairo,2/7/2019,Female,"Food and beverages",570.78
827-77-7633,Alex,2/17/2019,Male,"Sports and travel",926.9505
287-83-1405,Alex,2/12/2019,Male,"Health and beauty",160.209
435-13-4908,Alex,1/24/2019,Male,"Fashion accessories",728.112
857-67-9057,Cairo,2/6/2019,Male,"Electronic accessories",240.975
236-27-1144,Giza,3/26/2019,Female,"Food and beverages",154.1295
892-05-6689,Alex,3/11/2019,Female,"Home and lifestyle",148.68
583-41-4548,Giza,2/7/2019,Male,"Home and lifestyle",122.5245
339-12-4827,Cairo,1/5/2019,Female,"Fashion accessories",77.658
643-38-7867,Alex,3/7/2019,Male,"Home and lifestyle",102.837
308-81-0538,Alex,2/25/2019,Female,"Fashion accessories",306.81
358-88-9262,Giza,2/1/2019,Female,"Food and beverages",551.124
460-35-4390,Alex,1/22/2019,Male,"Home and lifestyle",96.642
343-87-0864,Giza,1/3/2019,Male,"Health and beauty",79.674
173-50-1108,Cairo,2/13/2019,Female,"Sports and travel",84.756
243-47-2663,Giza,1/28/2019,Male,"Electronic accessories",118.251
841-18-8232,Cairo,1/5/2019,Female,"Food and beverages",74.76
701-23-5550,Cairo,3/19/2019,Male,"Home and lifestyle",163.002
647-50-1224,Alex,1/12/2019,Female,"Fashion accessories",308.91
541-48-8554,Alex,1/7/2019,Male,"Sports and travel",575.9775
539-21-7227,Cairo,1/26/2019,Female,"Sports and travel",270.585
213-32-1216,Alex,1/23/2019,Female,"Electronic accessories",416.178
747-58-7183,Cairo,2/9/2019,Male,"Fashion accessories",180.4005
582-52-8065,Cairo,2/22/2019,Female,"Fashion accessories",513.2295
210-57-1719,Cairo,2/5/2019,Female,"Health and beauty",550.368
399-69-4630,Giza,3/7/2019,Male,"Electronic accessories",139.923
134-75-2619,Alex,3/25/2019,Male,"Electronic accessories",142.002
356-44-8813,Cairo,1/20/2019,Male,"Home and lifestyle",118.062
198-66-9832,Cairo,2/4/2019,Female,"Fashion accessories",151.284
283-26-5248,Giza,1/30/2019,Female,"Food and beverages",1034.46
712-39-0363,Alex,1/2/2019,Male,"Food and beverages",262.458
218-59-9410,Alex,3/29/2019,Female,"Home and lifestyle",228.123
174-75-0888,Cairo,3/14/2019,Male,"Electronic accessories",203.931
866-99-7614,Giza,2/11/2019,Male,"Food and beverages",936.6
134-54-4720,Cairo,1/30/2019,Female,"Electronic accessories",356.328
760-90-2357,Alex,3/20/2019,Male,"Electronic accessories",469.413
514-37-2845,Cairo,3/20/2019,Male,"Fashion accessories",208.425
698-98-5964,Alex,1/17/2019,Female,"Food and beverages",852.705
718-57-9773,Giza,2/3/2019,Female,"Sports and travel",517.965
651-88-7328,Alex,1/1/2019,Female,"Fashion accessories",621.243
241-11-2261,Cairo,1/10/2019,Female,"Fashion accessories",586.971
408-26-9866,Giza,3/2/2019,Female,"Sports and travel",543.753
834-83-1826,Cairo,2/25/2019,Female,"Home and lifestyle",430.71
343-61-3544,Cairo,1/29/2019,Male,"Sports and travel",280.035
239-48-4278,Alex,3/10/2019,Male,"Food and beverages",74.4555
355-34-6244,Cairo,1/13/2019,Male,"Food and beverages",152.019
550-84-8664,Alex,3/22/2019,Male,"Sports and travel",451.0275
339-96-8318,Cairo,3/1/2019,Male,"Fashion accessories",597.6285
458-61-0011,Cairo,2/20/2019,Male,"Food and beverages",253.26
592-34-6155,Giza,1/14/2019,Male,"Food and beverages",133.434
797-88-0493,Alex,3/26/2019,Female,"Health and beauty",269.934
207-73-1363,Cairo,3/1/2019,Male,"Health and beauty",145.971
390-31-6381,Giza,1/7/2019,Male,"Food and beverages",85.743
443-82-0585,Alex,2/1/2019,Female,"Health and beauty",326.256
339-18-7061,Giza,2/13/2019,Female,"Fashion accessories",195.258
359-90-3665,Cairo,1/14/2019,Female,"Fashion accessories",75.936
375-72-3056,Cairo,1/19/2019,Male,"Sports and travel",198.639
127-47-6963,Alex,3/9/2019,Male,"Health and beauty",217.182
278-86-2735,Alex,3/27/2019,Female,"Food and beverages",164.871
695-28-6250,Alex,2/4/2019,Female,"Sports and travel",226.065
379-17-6588,Giza,3/14/2019,Male,"Fashion accessories",625.905
227-50-3718,Alex,3/4/2019,Male,"Health and beauty",76.755
302-15-2162,Giza,3/3/2019,Male,"Health and beauty",293.139
788-07-8452,Giza,1/27/2019,Female,"Home and lifestyle",178.164
560-49-6611,Alex,2/7/2019,Female,"Sports and travel",47.859
880-35-0356,Alex,2/5/2019,Female,"Sports and travel",236.88
585-11-6748,Cairo,3/15/2019,Male,"Sports and travel",304.92
470-31-3286,Cairo,3/1/2019,Male,"Health and beauty",46.683
152-68-2907,Alex,2/15/2019,Male,"Food and beverages",164.43
123-35-4896,Giza,2/17/2019,Female,"Sports and travel",440.937
258-69-7810,Giza,1/26/2019,Female,"Fashion accessories",193.4625
334-64-2006,Alex,3/24/2019,Female,"Home and lifestyle",147.672
219-61-4139,Giza,1/23/2019,Male,"Electronic accessories",87.234
881-41-7302,Giza,1/26/2019,Female,"Fashion accessories",68.2395
373-09-4567,Giza,3/14/2019,Male,"Food and beverages",814.38
642-30-6693,Cairo,3/17/2019,Female,"Sports and travel",343.413
484-22-8230,Giza,1/8/2019,Female,"Fashion accessories",381.3915
830-58-2383,Cairo,2/8/2019,Male,"Home and lifestyle",133.35
559-98-9873,Alex,2/10/2019,Female,"Fashion accessories",394.3275
544-32-5024,Giza,3/28/2019,Female,"Food and beverages",209.118
318-12-0304,Alex,1/23/2019,Male,"Fashion accessories",32.1405
349-97-8902,Cairo,1/17/2019,Male,"Food and beverages",121.569
421-95-9805,Alex,2/7/2019,Female,"Electronic accessories",30.408
277-35-5865,Giza,3/9/2019,Female,"Food and beverages",935.2665
789-23-8625,Cairo,1/24/2019,Male,"Fashion accessories",293.643
284-54-4231,Giza,1/19/2019,Male,"Sports and travel",84.9765
443-59-0061,Alex,2/3/2019,Male,"Food and beverages",708.225
509-29-3912,Alex,3/20/2019,Female,"Sports and travel",365.904
327-40-9673,Cairo,1/13/2019,Male,"Sports and travel",457.38
840-19-2096,Giza,3/14/2019,Male,"Electronic accessories",461.5275
828-46-6863,Alex,1/23/2019,Male,"Food and beverages",620.739
641-96-3695,Giza,2/7/2019,Female,"Fashion accessories",273.798
420-97-3340,Alex,3/28/2019,Female,"Food and beverages",225.792
436-54-4512,Alex,3/20/2019,Female,"Food and beverages",96.1905
670-79-6321,Cairo,1/17/2019,Female,"Home and lifestyle",695.2365
852-62-7105,Cairo,1/12/2019,Female,"Fashion accessories",874.125
598-06-7312,Cairo,2/16/2019,Male,"Fashion accessories",95.9175
135-13-8269,Cairo,1/26/2019,Female,"Food and beverages",165.648
816-57-2053,Alex,3/9/2019,Male,"Sports and travel",127.827
628-90-8624,Cairo,3/14/2019,Male,"Health and beauty",867.09
856-66-2701,Alex,1/25/2019,Male,"Home and lifestyle",167.895
308-39-1707,Alex,1/26/2019,Female,"Fashion accessories",12.6945
149-61-1929,Alex,1/19/2019,Male,"Sports and travel",673.995
655-07-2265,Alex,3/5/2019,Male,"Electronic accessories",246.6765
589-02-8023,Alex,1/15/2019,Male,"Food and beverages",175.917
420-04-7590,Cairo,3/18/2019,Male,"Home and lifestyle",314.055
182-88-2763,Cairo,3/20/2019,Male,"Food and beverages",251.7165
188-55-0967,Cairo,1/15/2019,Male,"Health and beauty",697.935
610-46-4100,Alex,3/3/2019,Male,"Health and beauty",212.7825
318-81-2368,Giza,3/19/2019,Female,"Electronic accessories",48.51
364-33-8584,Cairo,3/8/2019,Female,"Food and beverages",92.5575
665-63-9737,Cairo,2/27/2019,Male,"Fashion accessories",165.123
695-09-5146,Cairo,2/23/2019,Female,"Food and beverages",311.1885
155-45-3814,Giza,3/19/2019,Female,"Electronic accessories",743.82
794-32-2436,Cairo,3/27/2019,Male,"Electronic accessories",116.907
131-15-8856,Giza,3/30/2019,Female,"Food and beverages",609.168
273-84-2164,Giza,2/16/2019,Male,"Electronic accessories",63.2625
706-36-6154,Alex,1/18/2019,Male,"Home and lifestyle",182.952
778-89-7974,Giza,3/30/2019,Male,"Health and beauty",442.323
574-31-8277,Cairo,3/20/2019,Male,"Fashion accessories",35.3115
859-71-0933,Giza,1/16/2019,Female,"Sports and travel",32.529
740-11-5257,Giza,2/24/2019,Male,"Electronic accessories",259.77
369-82-2676,Cairo,1/15/2019,Male,"Electronic accessories",397.215
563-47-4072,Cairo,1/22/2019,Female,"Health and beauty",351.603
742-04-5161,Alex,2/3/2019,Male,"Home and lifestyle",764.19
149-15-7606,Cairo,3/6/2019,Male,"Sports and travel",352.674
133-77-3154,Cairo,2/16/2019,Male,"Fashion accessories",252.756
169-52-4504,Alex,3/14/2019,Female,"Electronic accessories",49.4235
250-81-7186,Giza,2/27/2019,Female,"Electronic accessories",104.6745
562-12-5430,Alex,1/18/2019,Female,"Fashion accessories",277.6725
816-72-8853,Alex,1/29/2019,Female,"Sports and travel",146.6325
491-38-3499,Alex,2/26/2019,Male,"Fashion accessories",58.2225
322-02-2271,Cairo,2/3/2019,Female,"Sports and travel",135.3555
842-29-4695,Giza,1/16/2019,Male,"Sports and travel",125.979
725-67-2480,Cairo,3/24/2019,Female,"Fashion accessories",370.125
641-51-2661,Giza,2/12/2019,Female,"Food and beverages",914.55
714-02-3114,Giza,2/21/2019,Female,"Sports and travel",207.48
518-17-2983,Alex,2/4/2019,Female,"Fashion accessories",204.246
779-42-2410,Cairo,2/20/2019,Male,"Food and beverages",181.881
190-14-3147,Cairo,2/23/2019,Female,"Health and beauty",75.474
408-66-6712,Giza,2/16/2019,Female,"Health and beauty",300.573
679-22-6530,Cairo,1/17/2019,Female,"Sports and travel",85.302
588-47-8641,Alex,1/14/2019,Male,"Fashion accessories",588.42
642-61-4706,Cairo,3/30/2019,Male,"Food and beverages",196.14
576-31-4774,Cairo,3/2/2019,Female,"Health and beauty",231.2415
556-41-6224,Giza,2/15/2019,Male,"Health and beauty",282.576
811-03-8790,Alex,3/1/2019,Female,"Electronic accessories",477.54
242-11-3142,Cairo,2/24/2019,Male,"Fashion accessories",175.917
752-23-3760,Cairo,2/19/2019,Female,"Sports and travel",470.988
274-05-5470,Alex,2/23/2019,Female,"Food and beverages",308.574
648-94-3045,Giza,2/7/2019,Male,"Health and beauty",618.975
130-67-4723,Alex,1/11/2019,Male,"Food and beverages",305.55
528-87-5606,Cairo,2/12/2019,Female,"Electronic accessories",41.454
320-85-2052,Cairo,1/14/2019,Female,"Sports and travel",36.5505
370-96-0655,Giza,1/9/2019,Female,"Fashion accessories",310.716
105-10-6182,Alex,2/27/2019,Male,"Fashion accessories",45.108
510-79-0415,Cairo,1/24/2019,Female,"Sports and travel",145.404
241-96-5076,Cairo,1/8/2019,Female,"Home and lifestyle",103.11
767-97-4650,Cairo,1/8/2019,Female,"Sports and travel",136.143
648-83-1321,Alex,1/16/2019,Male,"Home and lifestyle",667.38
173-57-2300,Giza,3/13/2019,Male,"Sports and travel",153.048
305-03-2383,Alex,2/15/2019,Female,"Food and beverages",211.365
394-55-6384,Giza,1/25/2019,Female,"Sports and travel",663.2955
266-20-6657,Giza,3/12/2019,Male,"Food and beverages",404.544
689-05-1884,Alex,3/4/2019,Male,"Health and beauty",510.615
196-01-2849,Giza,2/10/2019,Female,"Fashion accessories",539.343
372-62-5264,Giza,1/16/2019,Female,"Food and beverages",497.07
800-09-8606,Alex,1/29/2019,Female,"Home and lifestyle",458.6925
182-52-7000,Alex,1/1/2019,Female,"Sports and travel",113.568
826-58-8051,Cairo,1/6/2019,Male,"Home and lifestyle",261.198
868-06-0466,Alex,2/19/2019,Male,"Electronic accessories",657.531
751-41-9720,Giza,1/12/2019,Male,"Home and lifestyle",1023.75
626-43-7888,Giza,2/7/2019,Female,"Fashion accessories",507.444
176-64-7711,Cairo,3/27/2019,Male,"Food and beverages",101.808
191-29-0321,Cairo,2/27/2019,Female,"Fashion accessories",207.585
729-06-2010,Cairo,1/6/2019,Male,"Health and beauty",760.4415
640-48-5028,Cairo,3/2/2019,Female,"Home and lifestyle",835.2855
186-79-9562,Cairo,3/29/2019,Male,"Health and beauty",527.5095
834-45-5519,Cairo,1/31/2019,Female,"Electronic accessories",180.6
162-65-8559,Giza,1/21/2019,Male,"Food and beverages",72.429
760-27-5490,Giza,1/20/2019,Male,"Fashion accessories",131.208
445-30-9252,Alex,1/17/2019,Male,"Sports and travel",80.955
786-94-2700,Alex,2/28/2019,Male,"Food and beverages",507.906
728-88-7867,Giza,3/19/2019,Female,"Home and lifestyle",317.226
183-21-3799,Giza,2/19/2019,Female,"Electronic accessories",733.6035
268-20-3585,Giza,2/4/2019,Female,"Health and beauty",130.8825
735-32-9839,Giza,1/31/2019,Male,"Fashion accessories",829.08
258-92-7466,Alex,2/6/2019,Female,"Health and beauty",187.32
857-16-3520,Alex,3/28/2019,Female,"Fashion accessories",525.231
482-17-1179,Alex,1/19/2019,Male,"Electronic accessories",37.611
788-21-5741,Alex,2/17/2019,Male,"Fashion accessories",142.947
821-14-9046,Cairo,1/18/2019,Female,"Fashion accessories",110.124
418-05-0656,Cairo,2/2/2019,Female,"Fashion accessories",187.866
678-79-0726,Giza,1/18/2019,Female,"Sports and travel",856.4535
776-68-1096,Cairo,3/18/2019,Male,"Home and lifestyle",138.978
592-46-1692,Giza,1/11/2019,Female,"Food and beverages",270.2595
434-35-9162,Cairo,2/4/2019,Male,"Food and beverages",98.028
149-14-0304,Giza,2/6/2019,Female,"Health and beauty",239.4
442-44-6497,Giza,1/8/2019,Male,"Home and lifestyle",175.0455
174-64-0215,Cairo,3/5/2019,Male,"Sports and travel",732.27
210-74-9613,Giza,3/16/2019,Male,"Fashion accessories",408.492
299-29-0180,Cairo,3/9/2019,Female,"Home and lifestyle",383.523
247-11-2470,Alex,3/1/2019,Female,"Fashion accessories",93.744
635-28-5728,Alex,2/28/2019,Male,"Health and beauty",176.4
756-49-0168,Alex,2/8/2019,Male,"Fashion accessories",20.685
438-23-1242,Cairo,1/24/2019,Male,"Electronic accessories",557.718
238-45-6950,Cairo,3/1/2019,Male,"Food and beverages",56.406
607-65-2441,Giza,3/10/2019,Male,"Health and beauty",860.475
386-27-7606,Giza,3/23/2019,Female,"Home and lifestyle",596.82
137-63-5492,Giza,1/29/2019,Male,"Electronic accessories",616.98
197-77-7132,Cairo,1/12/2019,Male,"Electronic accessories",769.104
805-86-0265,Alex,3/20/2019,Male,"Home and lifestyle",887.922
733-29-1227,Giza,3/23/2019,Male,"Home and lifestyle",408.7335
451-73-2711,Giza,1/14/2019,Male,"Food and beverages",89.0715
373-14-0504,Alex,2/12/2019,Female,"Sports and travel",150.423
546-80-2899,Alex,2/20/2019,Male,"Home and lifestyle",79.149
345-68-9016,Giza,1/2/2019,Female,"Sports and travel",266.028
390-17-5806,Giza,2/2/2019,Female,"Food and beverages",40.341
457-13-1708,Cairo,1/8/2019,Male,"Fashion accessories",684.915
664-14-2882,Giza,1/30/2019,Female,"Home and lifestyle",55.2825
487-79-6868,Cairo,3/26/2019,Female,"Home and lifestyle",116.1405
314-23-4520,Giza,1/15/2019,Male,"Health and beauty",597.0405
210-30-7976,Cairo,3/14/2019,Female,"Fashion accessories",93.744
585-86-8361,Alex,2/3/2019,Female,"Food and beverages",143.22
807-14-7833,Alex,2/22/2019,Female,"Electronic accessories",182.91
775-72-1988,Cairo,1/24/2019,Male,"Home and lifestyle",384.72
288-38-3758,Giza,1/25/2019,Female,"Fashion accessories",267.3405
652-43-6591,Alex,3/9/2019,Female,"Fashion accessories",817.236
785-96-0615,Cairo,2/17/2019,Female,"Electronic accessories",300.216
406-46-7107,Alex,1/11/2019,Female,"Home and lifestyle",608.076
250-17-5703,Alex,2/27/2019,Male,"Food and beverages",197.925
156-95-3964,Alex,3/25/2019,Female,"Food and beverages",232.638
842-40-8179,Cairo,2/11/2019,Female,"Food and beverages",810.6
525-09-8450,Cairo,1/31/2019,Male,"Electronic accessories",757.365
410-67-1709,Alex,1/20/2019,Female,"Fashion accessories",536.592
587-73-4862,Alex,3/26/2019,Female,"Health and beauty",56.1225
787-87-2010,Alex,1/20/2019,Male,"Health and beauty",233.1
593-14-4239,Cairo,3/5/2019,Female,"Home and lifestyle",801.864
801-88-0346,Giza,1/5/2019,Female,"Fashion accessories",239.589
388-76-2555,Cairo,2/13/2019,Male,"Sports and travel",86.247
711-31-1234,Cairo,3/16/2019,Female,"Electronic accessories",401.688
886-54-6089,Alex,1/15/2019,Female,"Home and lifestyle",72.009
707-32-7409,Cairo,2/26/2019,Female,"Sports and travel",401.268
759-98-4285,Giza,2/27/2019,Female,"Health and beauty",631.1445
201-63-8275,Giza,2/17/2019,Female,"Sports and travel",499.7265
471-06-8611,Giza,2/6/2019,Female,"Food and beverages",55.041
200-16-5952,Giza,1/17/2019,Male,"Food and beverages",137.865
120-54-2248,Cairo,1/22/2019,Female,"Food and beverages",151.515
102-77-2261,Giza,3/5/2019,Male,"Health and beauty",480.0285
875-31-8302,Cairo,1/3/2019,Male,"Sports and travel",98.049
102-06-2002,Giza,3/20/2019,Male,"Sports and travel",132.5625
457-94-0464,Cairo,1/31/2019,Male,"Electronic accessories",830.3715
629-42-4133,Giza,2/19/2019,Male,"Health and beauty",183.12
534-53-3526,Alex,2/11/2019,Female,"Sports and travel",397.992
307-04-2070,Alex,2/5/2019,Female,"Fashion accessories",32.151
468-99-7231,Giza,3/3/2019,Female,"Home and lifestyle",369.684
516-77-6464,Giza,2/24/2019,Female,"Health and beauty",53.34
404-91-5964,Alex,2/4/2019,Male,"Electronic accessories",548.163
886-77-9084,Giza,2/19/2019,Male,"Electronic accessories",603.876
790-38-4466,Giza,1/23/2019,Female,"Health and beauty",57.6975
704-10-4056,Giza,1/14/2019,Male,"Health and beauty",190.4805
497-37-6538,Alex,1/17/2019,Male,"Sports and travel",432.9885
651-96-5970,Alex,3/3/2019,Male,"Fashion accessories",48.7305
400-80-4065,Giza,2/15/2019,Male,"Health and beauty",287.91
744-16-7898,Cairo,1/15/2019,Female,"Home and lifestyle",1022.385
263-12-5321,Alex,2/27/2019,Male,"Electronic accessories",680.61
702-72-0487,Alex,2/26/2019,Female,"Electronic accessories",97.881
605-83-1050,Cairo,3/15/2019,Male,"Fashion accessories",57.078
443-60-9639,Giza,1/24/2019,Female,"Home and lifestyle",63.9135
864-24-7918,Alex,2/22/2019,Female,"Sports and travel",257.145
359-94-5395,Cairo,3/15/2019,Male,"Health and beauty",97.419
401-09-4232,Giza,2/11/2019,Male,"Home and lifestyle",455.1225
751-15-6198,Cairo,1/12/2019,Male,"Sports and travel",144.963
324-41-6833,Giza,3/3/2019,Female,"Electronic accessories",253.68
474-33-8305,Giza,3/23/2019,Male,"Fashion accessories",495.3165
759-29-9521,Alex,3/4/2019,Female,"Fashion accessories",462.672
831-81-6575,Cairo,2/23/2019,Female,"Electronic accessories",714.3255
220-68-6701,Alex,3/17/2019,Female,"Home and lifestyle",325.374
618-34-8551,Alex,1/16/2019,Female,"Sports and travel",195.678
257-60-7754,Alex,1/8/2019,Female,"Electronic accessories",210.966
559-61-5987,Cairo,1/14/2019,Female,"Health and beauty",18.6375
189-55-2313,Giza,1/31/2019,Female,"Fashion accessories",652.89
565-91-4567,Cairo,3/15/2019,Male,"Health and beauty",90.3
380-60-5336,Alex,2/24/2019,Female,"Electronic accessories",422.73
815-04-6282,Giza,2/8/2019,Female,"Sports and travel",341.0925
674-56-6360,Alex,3/22/2019,Male,"Electronic accessories",99.9075
778-34-2523,Alex,1/24/2019,Female,"Electronic accessories",408.408
